time,x,y
0.0,590.6328,696.38214
0.0,590.6328,696.38214
0.019637188,590.6328,696.38214
0.049637187,590.6328,696.38214
0.08963719,590.6328,696.38214
0.11963719,590.6328,696.38214
0.16963719,590.6328,696.38214
0.19963719,590.6328,696.38214
0.23963718,590.6328,696.38214
0.2696372,590.6328,696.38214
0.2996372,590.6328,696.38214
0.34963718,590.6328,696.38214
0.37963718,590.6328,696.38214
0.41963717,583.875,697.6125
0.44963717,575.7656,702.53394
0.4896372,574.41406,703.7643
0.5296372,574.41406,703.7643
0.5596372,574.41406,707.4554
0.58963716,574.41406,709.9161
0.6396372,575.7656,713.6072
0.6696372,575.7656,714.8375
0.6996372,575.7656,714.8375
0.7396372,575.7656,714.8375
0.76963717,575.7656,714.8375
0.8096372,575.7656,714.8375
0.83963716,575.7656,714.8375
0.8796372,574.41406,714.8375
0.9096372,573.0625,716.0679
0.9396372,571.71094,716.0679
0.9896372,571.71094,716.0679
1.0196372,570.3594,716.0679
1.0496372,570.3594,716.0679
1.0796372,570.3594,716.0679
1.1296372,570.3594,716.0679
1.1596372,569.0078,716.0679
1.1896372,566.3047,716.0679
1.2196372,563.60156,716.0679
1.2596372,560.89844,716.0679
1.2996372,556.84375,714.8375
1.3296372,552.78906,713.6072
1.3696371,550.08594,712.37683
1.3996372,548.7344,712.37683
6.376667,548.7344,712.37683
6.4266667,548.7344,712.37683
6.456667,548.7344,712.37683
6.4866667,548.7344,712.37683
6.5266666,548.7344,712.37683
11.52,548.7344,712.37683
11.56,548.7344,712.37683
11.59,548.7344,712.37683
11.63,548.7344,712.37683
11.66,548.7344,712.37683
16.643333,548.7344,712.37683
16.683332,548.7344,712.37683
16.723333,548.7344,712.37683
16.753334,548.7344,712.37683
21.733334,548.7344,712.37683
21.763334,548.7344,712.37683
21.813334,548.7344,712.37683
21.843334,548.7344,712.37683
21.873333,548.7344,712.37683
26.876667,548.7344,712.37683
26.906668,548.7344,712.37683
26.936666,548.7344,712.37683
26.976667,548.7344,712.37683
31.966667,548.7344,712.37683
31.996668,548.7344,712.37683
32.02667,548.7344,712.37683
32.066666,548.7344,712.37683
32.106667,548.7344,712.37683
37.12,548.7344,712.37683
37.16,548.7344,712.37683
37.19,548.7344,712.37683
37.219997,548.7344,712.37683
37.269997,548.7344,712.37683
37.3,548.7344,712.37683
37.34,548.7344,712.37683
37.37,544.6797,712.37683
37.41,525.7578,711.1464
37.44,486.5625,709.9161
37.469997,478.45312,709.9161
37.51,460.8828,707.4554
37.539997,455.47656,706.22504
37.579998,448.71875,706.22504
37.609997,436.5547,704.9946
37.649998,424.39062,701.3036
37.68,416.28125,697.6125
37.71,410.875,692.6911
42.7,410.875,689.0
42.74,412.22656,682.8482
42.77,417.6328,676.6965
42.8,429.79688,670.5447
42.84,437.90625,668.0839
47.833332,466.28906,664.3929
47.873333,485.21094,661.9321
47.913334,501.4297,660.7018
47.943333,514.9453,657.01074
47.97333,523.0547,654.55
48.013332,528.46094,652.0893
53.02,535.21875,648.39825
53.05,537.9219,644.70715
53.08,541.97656,639.7857
53.11,544.6797,634.8643
58.109997,547.3828,631.1732
58.16,548.7344,626.2518
58.19,550.08594,622.5607
58.219997,550.08594,620.10004
58.26,550.08594,618.8696
63.243332,551.4375,617.6393
63.293335,551.4375,617.6393
63.323334,551.4375,617.6393
63.353333,551.4375,617.6393
63.383335,551.4375,617.6393
68.37667,551.4375,617.6393
68.41667,551.4375,617.6393
68.44667,551.4375,617.6393
68.48667,551.4375,617.6393
73.47667,551.4375,617.6393
73.51667,551.4375,617.6393
73.55666,551.4375,617.6393
73.58667,551.4375,617.6393
73.61667,551.4375,617.6393
78.61,551.4375,617.6393
78.64,551.4375,617.6393
78.689995,551.4375,617.6393
78.72,551.4375,617.6393
78.75,551.4375,617.6393
78.79,551.4375,617.6393
78.82,551.4375,617.6393
78.869995,551.4375,617.6393
78.9,551.4375,617.6393
78.93,551.4375,617.6393
78.96,551.4375,617.6393
79.0,552.78906,617.6393
79.04,563.60156,632.40356
79.07,569.0078,644.70715
79.1,569.0078,652.0893
79.13,564.9531,654.55
79.18,560.89844,655.7804
79.21,562.25,655.7804
79.24,577.1172,655.7804
79.27,591.9844,655.7804
79.32,621.71875,664.3929
79.35,635.2344,670.5447
79.38,646.0469,675.46606
79.42,658.21094,682.8482
79.45,673.0781,690.23035
79.49,690.64844,700.07324
79.53,702.8125,706.22504
79.56,708.21875,708.6857
79.59,712.27344,709.9161
